Date,Value
12/31/17,13215.57
12/30/17,14640.13
12/29/17,14380.58
12/28/17,15589.32
12/27/17,15999.04
12/26/17,14119.02
12/25/17,13949.17
12/24/17,15360.26
12/23/17,15190.94
12/22/17,16047.51
12/21/17,16026.27
12/20/17,17737.11
12/19/17,18961.85
12/18/17,19289.78
12/17/17,19498.68
12/16/17,17771.89
12/15/17,16678.89
12/14/17,16808.36
12/13/17,17276.39
12/12/17,16762.11
12/11/17,14869.8
12/10/17,15142.83
12/9/17,16007.43
12/8/17,16501.97
12/7/17,13540.98
12/6/17,11878.43
12/5/17,11584.82
12/4/17,11332.62
12/3/17,11071.36
12/2/17,10883.91
12/1/17,10147.37
11/30/17,9879.32
11/29/17,9952.5
11/28/17,9718.29
11/27/17,9284.14
11/26/17,8707.4
11/25/17,8250.97
11/24/17,8148.94
11/23/17,8268.03
11/22/17,8059.8
11/21/17,8255.59
11/20/17,8007.65
11/19/17,7817.14
11/18/17,7786.88
11/17/17,7815.03
11/16/17,7301.42
11/15/17,6635.41
11/14/17,6550.22
11/13/17,5716.3
11/12/17,6362.85
11/11/17,6719.39
11/10/17,7158.03
11/9/17,7415.87
11/8/17,7092.12
11/7/17,6989.07
11/6/17,7377.01
11/5/17,7437.54
11/4/17,7197.72
11/3/17,7068.02
11/2/17,6665.3
11/1/17,6388.64
10/31/17,6105.87
10/30/17,6155.43
10/29/17,5776.69
10/28/17,5772.5
10/27/17,5893.13
10/26/17,5669.62
10/25/17,5505.82
10/24/17,5876.07
10/23/17,5983.18
10/22/17,6020.37
10/21/17,5979.45
10/20/17,5727.63
10/19/17,5546.17
10/18/17,5603.71
10/17/17,5711.2
10/16/17,5647.31
10/15/17,5739.43
10/14/17,5563.8
10/13/17,5325.13
10/12/17,4819.48
10/11/17,4782.27
10/10/17,4777.96
10/9/17,4602.28
10/8/17,4376.19
10/7/17,4345.6
10/6/17,4338.85
10/5/17,4225.17
10/4/17,4293.3
10/3/17,4386.88
10/2/17,4360.72
10/1/17,4335.36
9/30/17,4193.57
9/29/17,4201.98
9/28/17,4202.55
9/27/17,3910.3
9/26/17,3942.55
9/25/17,3703.04
9/24/17,3776.38
9/23/17,3637.5
9/22/17,3658.89
9/21/17,3977.56
9/20/17,3943.41
9/19/17,4093.31
9/18/17,3746.06
9/17/17,3763.62
9/16/17,3774.26
9/15/17,3319.62
9/14/17,3961.27
9/13/17,4219.03
9/12/17,4248.09
9/11/17,4329.95
9/10/17,4375.55
9/9/17,4310.75
9/8/17,4654.65
9/7/17,4641.82
9/6/17,4488.72
9/5/17,4344.09
9/4/17,4648.15
9/3/17,4580.38
9/2/17,4911.74
9/1/17,4748.25
8/31/17,4594.98
8/30/17,4607.98
8/29/17,4391.67
8/28/17,4354.3
8/27/17,4360.51
8/26/17,4363.05
8/25/17,4340.31
8/24/17,4174.94
8/23/17,4082.18
8/22/17,4043.72
8/21/17,4157.95
8/20/17,4222.66
8/19/17,4130.44
8/18/17,4328.72
8/17/17,4360.87
8/16/17,4217.02
8/15/17,4282.99
8/14/17,4125.54
8/13/17,3852.8
8/12/17,3632.5
8/11/17,3424.4
8/10/17,3357.32
8/9/17,3457.37
8/8/17,3407.22
8/7/17,3252.56
8/6/17,3218.11
8/5/17,2873.85
8/4/17,2794.11
8/3/17,2693.63
8/2/17,2710.41
8/1/17,2866.43
7/31/17,2745.95
7/30/17,2722.51
7/29/17,2781.63
7/28/17,2647.62
7/27/17,2495.02
7/26/17,2560.99
7/25/17,2751.82
7/24/17,2725.54
7/23/17,2807.6
7/22/17,2682.19
7/21/17,2898.18
7/20/17,2264.76
7/19/17,2320.12
7/18/17,2176.62
7/17/17,1931.21
7/16/17,2058.99
7/15/17,2190.94
7/14/17,2354.78
7/13/17,2385.74
7/12/17,2369.86
7/11/17,2366.17
7/10/17,2536.23
7/9/17,2562.13
7/8/17,2491.2
7/7/17,2609.96
7/6/17,2619.18
7/5/17,2599.72
7/4/17,2561.22
7/3/17,2501.19
7/2/17,2434.07
7/1/17,2477.64
6/30/17,2544.41
6/29/17,2585.34
6/28/17,2517.9
6/27/17,2436.45
6/26/17,2512.36
6/25/17,2589.16
6/24/17,2710.41
6/23/17,2727.28
6/22/17,2671.04
6/21/17,2754.97
6/20/17,2617.21
6/19/17,2507.38
6/18/17,2665.92
6/17/17,2464.95
6/16/17,2442.48
6/15/17,2447.04
6/14/17,2748.18
6/13/17,2657.67
6/12/17,2961.82
6/11/17,2845.37
6/10/17,2827.49
6/9/17,2792.99
6/8/17,2664.92
6/7/17,2883.31
6/6/17,2698.31
6/5/17,2516.17
6/4/17,2525.76
6/3/17,2446.14
6/2/17,2399.24
6/1/17,2285.93
5/31/17,2239.2
5/30/17,2275.93
5/29/17,2192.98
5/28/17,2014.05
5/27/17,2211.97
5/26/17,2387.2
5/25/17,2379.19
5/24/17,2287.71
5/23/17,2090.66
5/22/17,2046.53
5/21/17,2052.9
5/20/17,1961.52
5/19/17,1899.08
5/18/17,1807.48
5/17/17,1739.03
5/16/17,1723.12
5/15/17,1776.31
5/14/17,1771.92
5/13/17,1720.47
5/12/17,1820.99
5/11/17,1762.88
5/10/17,1721.28
5/9/17,1640.61
5/8/17,1535.86
5/7/17,1560.41
5/6/17,1533.33
